"pid","edu_comp_age_1_1","edu_comp_age_2_1","edu_qual_1_m","housing_income_1_1","work_distance_1_1","work_manual_labour_1_1","work_nights_1_1","work_shifts_1_1","work_status_1_m","work_status_2_m","work_transport_1_m","work_walk_stand_1_1","work_wk_hrs_1_1","work_wk_travel_1_1","work_yrs_1_1"
"SY511104","Still in full time education","Do not know","College or University degree","£52,000 to £100,000","46",NA,NA,NA,NA,"Unemployed",NA,NA,"0.8","31","42"
"QY863127","Do not know","Do not know","CSEs or equivalent","£52,000 to £100,000","77",NA,NA,NA,NA,"Retired",NA,NA,"7.2","76","42"
"NT364021","Do not know","Prefer not to answer","Prefer not to answer","Less than £18,000","73","Sometimes",NA,"Prefer not to answer",NA,"In paid employment or self-employed; Doing unpaid or voluntary work","Car or motor vehicle","Never/rarely","18.5","94","52"
"NI298940","Never went to school","Do not know","NVQ or HND or HNC or equivalent","£52,000 to £100,000","3","Sometimes",NA,"Never/rarely","In paid employment or self-employed",NA,"Walk","Never/rarely","9.6","73","0"
"ON763943","Never went to school","Never went to school","None of the above","Less than £18,000","93",NA,NA,NA,NA,"Retired",NA,NA,"1.9","33","23"
"FN844747","Prefer not to answer","Do not know","A levels/AS levels/BTEC or equivalent|O levels/GCSEs or equivalent","£18,000 to £30,999","49","Never/rarely",NA,"Never/rarely",NA,"Doing unpaid or voluntary work; Looking after home and/or family","Car or motor vehicle","Usually","6.2","25","23"
"XC879374","Prefer not to answer","Never went to school","NVQ or HND or HNC or equivalent","£31,000 to £51,999","5","Never/rarely",NA,"Never/rarely",NA,"In paid employment or self-employed","Car or motor vehicle","Sometimes","16.3","86","13"
"OR649975","Prefer not to answer","Never went to school","O levels/GCSEs or equivalent","£31,000 to £51,999","54",NA,NA,NA,NA,"Retired",NA,NA,"19.0","75","17"
"KJ268066","Do not know","Do not know","CSEs or equivalent","Prefer not to answer","10",NA,NA,NA,NA,"Unable to work because of sickness or disability",NA,NA,"12.0","94","50"
"EA720904","Never went to school","Never went to school","NVQ or HND or HNC or equivalent","Greater than £100,000","30",NA,NA,NA,"Full or part-time student",NA,NA,NA,"22.9","2","2"
"PH815222","Still in full time education","Never went to school","O levels/GCSEs or equivalent","£52,000 to £100,000","23","Never/rarely","Usually","Usually",NA,"In paid employment or self-employed","Train","Always","7.0","9","43"
"QT829836","Prefer not to answer","Still in full time education","College or University degree|A levels/AS levels/BTEC or equivalent|O levels/GCSEs or equivalent","£18,000 to £30,999","26","Never/rarely","Sometimes","Sometimes",NA,"Looking after home and/or family","Car or motor vehicle","Sometimes","1.3","39","12"
"VU126847","Still in full time education","Do not know","CSEs or equivalent","£31,000 to £51,999","26",NA,NA,NA,NA,"Retired",NA,NA,"3.4","85","49"
"QE342658","Prefer not to answer","Still in full time education","NVQ or HND or HNC or equivalent","£52,000 to £100,000","77","Sometimes",NA,"Never/rarely",NA,"In paid employment or self-employed","Car or motor vehicle","Sometimes","21.7","92","79"
"RF817356","Still in full time education","Never went to school","Other professional qualifications e.g., nursing, teaching","£18,000 to £30,999","75","Never/rarely",NA,"Never/rarely",NA,"In paid employment or self-employed","Walk","Do not know","9.9","55","34"
"BN276705","Prefer not to answer","Never went to school","A levels/AS levels/BTEC or equivalent|O levels/GCSEs or equivalent","Prefer not to answer","9","Never/rarely","Prefer not to answer","Always",NA,"In paid employment or self-employed","Walk","Usually","11.1","23","43"
"FD487748","Do not know","Do not know","NVQ or HND or HNC or equivalent","£18,000 to £30,999","67",NA,NA,NA,NA,"Retired",NA,NA,"1.9","36","36"
"VI675228","Prefer not to answer","Do not know","None of the above","£31,000 to £51,999","26",NA,NA,NA,NA,"Unemployed",NA,NA,"10.7","34","46"
"FH182976","Still in full time education","Never went to school","College or University degree|A levels/AS levels/BTEC or equivalent|O levels/GCSEs or equivalent","£18,000 to £30,999","17","Sometimes","Sometimes","Sometimes",NA,"In paid employment or self-employed","Car or motor vehicle","Never/rarely","19.7","19","21"
"FW331505","Do not know","Do not know","NVQ or HND or HNC or equivalent","£52,000 to £100,000","57","Usually",NA,"Never/rarely",NA,"In paid employment or self-employed","Car or motor vehicle","Always","0.7","16","40"
"TP234953","Prefer not to answer","Do not know","NVQ or HND or HNC or equivalent","£31,000 to £51,999","72","Usually",NA,"Never/rarely",NA,"In paid employment or self-employed","Walk","Sometimes","19.1","24","32"
"OZ599864","Do not know","Still in full time education","Prefer not to answer","£52,000 to £100,000","24","Never/rarely",NA,"Prefer not to answer",NA,"In paid employment or self-employed","Car or motor vehicle","Sometimes","8.0","94","50"
"BL521901","Still in full time education","Still in full time education","A levels/AS levels/BTEC or equivalent|O levels/GCSEs or equivalent","£18,000 to £30,999","98",NA,NA,NA,NA,"Unemployed; Full or part-time student",NA,NA,"21.0","0","7"
"JJ939514","Still in full time education","Still in full time education","Prefer not to answer","£31,000 to £51,999","89","Usually",NA,"Never/rarely",NA,"In paid employment or self-employed","Train","Usually","21.1","95","26"
"WN740511","Never went to school","Never went to school","College or University degree|A levels/AS levels/BTEC or equivalent","£18,000 to £30,999","20","Sometimes","Always","Sometimes",NA,"In paid employment or self-employed","Car or motor vehicle","Usually","18.3","14","76"
"LW533737","Never went to school","Do not know","Other professional qualifications e.g., nursing, teaching","Less than £18,000","15","Never/rarely",NA,"Never/rarely",NA,"In paid employment or self-employed","Work from home","Sometimes","6.0","85","0"
"ZK423240","Still in full time education","Do not know","Other professional qualifications e.g., nursing, teaching","Prefer not to answer","33","Usually",NA,"Never/rarely",NA,"In paid employment or self-employed","Cycle","Usually","8.9","77","6"
"IW497381","Never went to school","Still in full time education","None of the above","£31,000 to £51,999","65","Sometimes",NA,"Never/rarely",NA,"In paid employment or self-employed","Train","Sometimes","19.5","80","7"
"AV350267","Never went to school","Never went to school","None of the above","£31,000 to £51,999","52",NA,NA,NA,NA,"None of the above",NA,NA,"5.2","85","43"
"BY562494","Do not know","Do not know","College or University degree|A levels/AS levels/BTEC or equivalent|O levels/GCSEs or equivalent","£52,000 to £100,000","37","Sometimes",NA,"Never/rarely",NA,"In paid employment or self-employed","Work from home","Never/rarely","20.1","69","57"
"XB737117","Do not know","Do not know","Other professional qualifications e.g., nursing, teaching","Less than £18,000","24",NA,NA,NA,NA,"Retired",NA,NA,"23.3","40","58"
"XP593860","Never went to school","Do not know","None of the above","£18,000 to £30,999","79","Never/rarely",NA,"Never/rarely",NA,"In paid employment or self-employed","Car or motor vehicle","Always","16.2","26","29"
"BN744434","Never went to school","Still in full time education","CSEs or equivalent","£31,000 to £51,999","82","Never/rarely",NA,"Never/rarely",NA,"In paid employment or self-employed; Full or part-time student","Work from home","Sometimes","11.6","94","14"
"YY331434","Prefer not to answer","Do not know","A levels/AS levels/BTEC or equivalent|O levels/GCSEs or equivalent","£18,000 to £30,999","8",NA,NA,NA,NA,"Retired",NA,NA,"23.6","34","45"
"KO759184","Prefer not to answer","Do not know","NVQ or HND or HNC or equivalent","£18,000 to £30,999","69","Sometimes",NA,"Never/rarely",NA,"In paid employment or self-employed","Car or motor vehicle","Sometimes","14.3","43","46"
"NQ494679","Never went to school","Prefer not to answer","None of the above","Less than £18,000","83","Always",NA,"Never/rarely",NA,"In paid employment or self-employed","Car or motor vehicle","Sometimes","13.4","56","26"
"BF736075","Do not know","Do not know","NVQ or HND or HNC or equivalent","£31,000 to £51,999","1","Usually",NA,"Never/rarely",NA,"In paid employment or self-employed","Car or motor vehicle","Sometimes","18.5","42","38"
"BW458531","Never went to school","Do not know","Prefer not to answer","Less than £18,000","58","Sometimes",NA,"Never/rarely",NA,"In paid employment or self-employed","Car or motor vehicle","Never/rarely","9.9","24","52"
"JS255836","Still in full time education","Prefer not to answer","College or University degree|A levels/AS levels/BTEC or equivalent|O levels/GCSEs or equivalent","£31,000 to £51,999","13",NA,NA,NA,NA,"Retired",NA,NA,"13.7","57","36"
"YJ902880","Prefer not to answer","Prefer not to answer","Other professional qualifications e.g., nursing, teaching","Less than £18,000","81","Sometimes","Usually","Usually",NA,"In paid employment or self-employed; Looking after home and/or family","Walk","Do not know","21.9","97","29"
"VM701348","Do not know","Prefer not to answer","Other professional qualifications e.g., nursing, teaching","£31,000 to £51,999","16","Never/rarely",NA,"Never/rarely",NA,"In paid employment or self-employed","Work from home","Never/rarely","21.6","10","9"
"EF232624","Still in full time education","Do not know","Prefer not to answer","£31,000 to £51,999","24",NA,NA,NA,NA,"Retired",NA,NA,"19.7","47","0"
"JA782432","Never went to school","Still in full time education","A levels/AS levels/BTEC or equivalent|O levels/GCSEs or equivalent","Less than £18,000","50","Usually",NA,"Never/rarely",NA,"In paid employment or self-employed","Bus or coach","Usually","9.6","43","64"
"QK614592","Prefer not to answer","Never went to school","NVQ or HND or HNC or equivalent","Less than £18,000","22","Never/rarely","Sometimes","Sometimes",NA,"In paid employment or self-employed","Car or motor vehicle","Do not know","6.9","21","10"
"QM229090","Prefer not to answer","Never went to school","College or University degree|A levels/AS levels/BTEC or equivalent|O levels/GCSEs or equivalent","£18,000 to £30,999","67","Never/rarely",NA,"Never/rarely",NA,"In paid employment or self-employed","Car or motor vehicle","Usually","6.3","99","47"
"EZ984804","Prefer not to answer","Prefer not to answer","O levels/GCSEs or equivalent","£31,000 to £51,999","26","Never/rarely",NA,"Never/rarely",NA,"In paid employment or self-employed","Car or motor vehicle","Never/rarely","11.5","63","0"
"CZ523877","Prefer not to answer","Still in full time education","CSEs or equivalent","£18,000 to £30,999","72","Sometimes","Usually","Sometimes",NA,"In paid employment or self-employed","Car or motor vehicle","Sometimes","12.1","42","63"
"NJ134167","Still in full time education","Never went to school","Prefer not to answer","£31,000 to £51,999","11",NA,NA,NA,NA,"Full or part-time student",NA,NA,"14.7","54","19"
"NM168233","Prefer not to answer","Still in full time education","CSEs or equivalent","£31,000 to £51,999","36","Never/rarely",NA,"Never/rarely",NA,"In paid employment or self-employed","Bus or coach","Sometimes","21.8","65","15"
"ZO958729","Still in full time education","Still in full time education","College or University degree|A levels/AS levels/BTEC or equivalent|O levels/GCSEs or equivalent","£18,000 to £30,999","87","Usually","Sometimes","Sometimes",NA,"In paid employment or self-employed; Full or part-time student","Car or motor vehicle","Sometimes","18.6","26","14"
"AQ536321","Never went to school","Still in full time education","Other professional qualifications e.g., nursing, teaching","£52,000 to £100,000","14","Never/rarely",NA,"Never/rarely",NA,"Looking after home and/or family","Walk","Never/rarely","21.7","58","74"
"EO680176","Never went to school","Prefer not to answer","Prefer not to answer","£52,000 to £100,000","77","Sometimes",NA,"Never/rarely",NA,"In paid employment or self-employed","Train","Never/rarely","7.9","14","61"
"CH171374","Never went to school","Do not know","A levels/AS levels/BTEC or equivalent|O levels/GCSEs or equivalent","£18,000 to £30,999","8",NA,NA,NA,NA,"Retired",NA,NA,"5.9","0","36"
"VD520954","Still in full time education","Prefer not to answer","Other professional qualifications e.g., nursing, teaching","£52,000 to £100,000","67","Sometimes","Sometimes","Always",NA,"Doing unpaid or voluntary work","Car or motor vehicle","Sometimes","16.7","44","25"
"ZF591458","Do not know","Never went to school","Other professional qualifications e.g., nursing, teaching","Do not know","92","Sometimes","Never/rarely","Sometimes",NA,"Doing unpaid or voluntary work","Car or motor vehicle","Always","0.5","86","48"
"MJ197968","Never went to school","Do not know","A levels/AS levels or equivalent|O levels/GCSEs or equivalent","Greater than £100,000","16","Do not know",NA,"Never/rarely","In paid employment or self-employed",NA,"Car or motor vehicle","Never/rarely","10.3","5","39"
"KT278602","Still in full time education","Still in full time education","Prefer not to answer","£31,000 to £51,999","96","Sometimes",NA,"Never/rarely",NA,"In paid employment or self-employed","Car or motor vehicle","Always","11.7","47","68"
"TX719300","Do not know","Still in full time education","CSEs or equivalent","£52,000 to £100,000","11","Never/rarely",NA,"Never/rarely",NA,"In paid employment or self-employed; Unemployed","Car or motor vehicle","Sometimes","9.2","73","73"
"ZY454016","Still in full time education","Prefer not to answer","College or University degree|A levels/AS levels/BTEC or equivalent|O levels/GCSEs or equivalent","Less than £18,000","51","Never/rarely","Prefer not to answer","Sometimes",NA,"In paid employment or self-employed","Car or motor vehicle","Never/rarely","10.9","76","15"
"QX268013","Never went to school","Do not know","College or University degree|A levels/AS levels/BTEC or equivalent","Less than £18,000","25","Never/rarely",NA,"Never/rarely",NA,"In paid employment or self-employed","Bus or coach","Never/rarely","19.2","43","15"
"TP449455","Do not know","Do not know","None of the above","£52,000 to £100,000","67","Sometimes",NA,"Never/rarely",NA,"In paid employment or self-employed","Car or motor vehicle","Never/rarely","21.5","14","49"
"DL751290","Never went to school","Still in full time education","NVQ or HND or HNC or equivalent","£52,000 to £100,000","90","Usually",NA,"Never/rarely",NA,"In paid employment or self-employed","Bus or coach","Sometimes","23.5","38","18"
"TP559734","Prefer not to answer","Do not know","CSEs or equivalent","Less than £18,000","50",NA,NA,NA,NA,"Retired",NA,NA,"21.4","81","30"
"KS483240","Do not know","Prefer not to answer","None of the above","Less than £18,000","95","Never/rarely","Sometimes","Usually",NA,"In paid employment or self-employed","Prefer not to answer","Usually","7.8","88","14"
"QC257409","Never went to school","Prefer not to answer","None of the above","£18,000 to £30,999","89","Never/rarely",NA,"Never/rarely",NA,"Doing unpaid or voluntary work","Cycle","Sometimes","12.3","98","25"
"IX471169","Prefer not to answer","Still in full time education","A levels/AS levels/BTEC or equivalent","£31,000 to £51,999","12","Usually","Sometimes","Sometimes",NA,"In paid employment or self-employed","Car or motor vehicle","Sometimes","10.8","49","16"
"QU676605","Still in full time education","Do not know","Other professional qualifications e.g., nursing, teaching","£18,000 to £30,999","20","Never/rarely","Usually","Usually",NA,"Doing unpaid or voluntary work","Prefer not to answer","Prefer not to answer","8.7","79","76"
"MG640964","Still in full time education","Prefer not to answer","NVQ or HND or HNC or equivalent","£18,000 to £30,999","73","Usually","Sometimes","Always",NA,"In paid employment or self-employed","Work from home","Never/rarely","18.8","22","13"
"QC161675","Do not know","Do not know","Other professional qualifications e.g., nursing, teaching","£52,000 to £100,000","58","Never/rarely",NA,"Never/rarely",NA,"In paid employment or self-employed","Walk","Sometimes","19.3","1","70"
"TJ300035","Still in full time education","Prefer not to answer","College or University degree|A levels/AS levels/BTEC or equivalent","£52,000 to £100,000","28","Usually",NA,"Never/rarely",NA,"On paid leave (e.g., maternity/paternity/sick leave)","Car or motor vehicle","Usually","8.0","96","31"
"AU480513","Still in full time education","Do not know","Other professional qualifications e.g., nursing, teaching","£18,000 to £30,999","24",NA,NA,NA,NA,"Retired",NA,NA,"3.6","6","9"
"QJ251025","Do not know","Still in full time education","A levels/AS levels/BTEC or equivalent|O levels/GCSEs or equivalent","£18,000 to £30,999","45",NA,NA,NA,NA,"Unemployed",NA,NA,"9.6","37","19"
"AG953776","Prefer not to answer","Do not know","O levels/GCSEs or equivalent","£18,000 to £30,999","78",NA,NA,NA,NA,"Retired",NA,NA,"15.4","99","7"
"BS560785","Never went to school","Still in full time education","Other professional qualifications e.g., nursing, teaching","£31,000 to £51,999","70","Never/rarely","Sometimes","Usually",NA,"Looking after home and/or family","Car or motor vehicle","Always","11.2","94","22"
"HM925546","Prefer not to answer","Do not know","O levels/GCSEs or equivalent","£52,000 to £100,000","19","Usually",NA,"Prefer not to answer",NA,"In paid employment or self-employed","Car or motor vehicle","Always","23.8","33","46"
"PJ623430","Still in full time education","Still in full time education","A levels/AS levels/BTEC or equivalent|O levels/GCSEs or equivalent","£18,000 to £30,999","36","Never/rarely",NA,"Never/rarely",NA,"In paid employment or self-employed","Work from home","Never/rarely","15.8","70","53"
"CW401971","Never went to school","Still in full time education","O levels/GCSEs or equivalent","£52,000 to £100,000","2","Usually",NA,"Never/rarely",NA,"In paid employment or self-employed","Walk","Always","11.5","80","10"
"EN877973","Do not know","Do not know","Other professional qualifications e.g., nursing, teaching","£18,000 to £30,999","67","Sometimes","Always","Sometimes",NA,"In paid employment or self-employed; Retired","Car or motor vehicle","Always","6.0","36","11"
"MX938806","Do not know","Do not know","None of the above","Less than £18,000","85","Never/rarely","Sometimes","Usually",NA,"In paid employment or self-employed","Car or motor vehicle","Always","13.2","75","37"
"LX575552","Never went to school","Prefer not to answer","A levels/AS levels/BTEC or equivalent|O levels/GCSEs or equivalent","£31,000 to £51,999","99",NA,NA,NA,NA,"Unemployed",NA,NA,"9.1","23","3"
"AK875287","Never went to school","Do not know","O levels/GCSEs or equivalent","£52,000 to £100,000","29","Never/rarely",NA,"Never/rarely","Looking after home and/or family",NA,"Car or motor vehicle","Never/rarely","12.2","92","79"
"SM272879","Do not know","Do not know","A levels/AS levels/BTEC or equivalent|O levels/GCSEs or equivalent","£31,000 to £51,999","56","Always",NA,"Never/rarely",NA,"In paid employment or self-employed","Car or motor vehicle","Sometimes","8.8","90","16"
"EC596883","Never went to school","Prefer not to answer","A levels/AS levels/BTEC or equivalent|O levels/GCSEs or equivalent","£31,000 to £51,999","55",NA,NA,NA,NA,"Retired",NA,NA,"2.5","21","57"
"OJ220692","Prefer not to answer","Never went to school","Other professional qualifications e.g., nursing, teaching","£52,000 to £100,000","69",NA,NA,NA,NA,"Retired",NA,NA,"22.6","24","57"
"XS740457","Prefer not to answer","Never went to school","None of the above","£52,000 to £100,000","79",NA,NA,NA,NA,"Retired",NA,NA,"5.3","21","72"
"FB248469","Still in full time education","Still in full time education","College or University degree|A levels/AS levels/BTEC or equivalent","£18,000 to £30,999","46","Usually",NA,"Never/rarely",NA,"In paid employment or self-employed","Work from home","Sometimes","9.2","52","76"
"WG929270","Prefer not to answer","Do not know","College or University degree|A levels/AS levels/BTEC or equivalent","£31,000 to £51,999","41","Never/rarely","Never/rarely","Sometimes",NA,"On paid leave (e.g., maternity/paternity/sick leave)","Car or motor vehicle","Always","14.5","59","26"
"PT833095","Never went to school","Prefer not to answer","A levels/AS levels/BTEC or equivalent|O levels/GCSEs or equivalent","£31,000 to £51,999","40",NA,NA,NA,NA,"Retired",NA,NA,"8.4","68","60"
"JU410373","Never went to school","Still in full time education","A levels/AS levels/BTEC or equivalent|O levels/GCSEs or equivalent","Do not know","68","Never/rarely",NA,"Never/rarely",NA,"On paid leave (e.g., maternity/paternity/sick leave); Full or part-time student","Car or motor vehicle","Sometimes","5.6","8","28"
"GU449478","Prefer not to answer","Never went to school","Other professional qualifications e.g., nursing, teaching","£31,000 to £51,999","16","Usually",NA,"Never/rarely",NA,"In paid employment or self-employed","Train","Sometimes","2.8","71","21"
"IK865094","Still in full time education","Do not know","College or University degree|A levels/AS levels/BTEC or equivalent|O levels/GCSEs or equivalent","Prefer not to answer","39","Never/rarely","Sometimes","Sometimes",NA,"In paid employment or self-employed","Walk","Usually","5.1","84","76"
"IZ404320","Do not know","Still in full time education","Other professional qualifications e.g., nursing, teaching","Less than £18,000","41","Sometimes",NA,"Never/rarely",NA,"In paid employment or self-employed","Train","Always","10.4","66","0"
"YK256855","Still in full time education","Prefer not to answer","None of the above","£52,000 to £100,000","49",NA,NA,NA,NA,"Unable to work because of sickness or disability",NA,NA,"12.2","93","27"
"CZ799873","Still in full time education","Never went to school","Prefer not to answer","£52,000 to £100,000","94",NA,NA,NA,NA,"Unemployed",NA,NA,"8.0","11","0"
"RA212534","Do not know","Still in full time education","Other professional qualifications e.g., nursing, teaching","£18,000 to £30,999","12","Never/rarely",NA,"Never/rarely",NA,"In paid employment or self-employed","Car or motor vehicle","Sometimes","18.8","48","9"
"UU716613","Never went to school","Never went to school","NVQ or HND or HNC or equivalent","£52,000 to £100,000","90","Sometimes",NA,"Never/rarely","In paid employment or self-employed; Retired",NA,"Walk","Prefer not to answer","22.9","15","43"
"OF419779","Prefer not to answer","Do not know","CSEs or equivalent","£31,000 to £51,999","75",NA,NA,NA,NA,"Retired",NA,NA,"18.3","11","75"
"OZ946603","Never went to school","Never went to school","Other professional qualifications e.g., nursing, teaching","Less than £18,000","12",NA,NA,NA,NA,"Retired",NA,NA,"11.7","67","10"
"YW378789","Prefer not to answer","Prefer not to answer","None of the above","£18,000 to £30,999","25","Never/rarely",NA,"Never/rarely",NA,"In paid employment or self-employed","Car or motor vehicle","Always","22.6","51","59"
"TJ114317","Never went to school","Prefer not to answer","None of the above","Greater than £100,000","39","Always",NA,"Never/rarely",NA,"In paid employment or self-employed","Walk","Sometimes","22.5","95","3"
"YI145626","Still in full time education","Still in full time education","NVQ or HND or HNC or equivalent","Less than £18,000","7","Never/rarely","Never/rarely","Always",NA,"In paid employment or self-employed","Car or motor vehicle","Sometimes","13.0","89","13"
"PL767191","Prefer not to answer","Never went to school","O levels/GCSEs or equivalent","£52,000 to £100,000","51",NA,NA,NA,NA,"Retired",NA,NA,"15.7","66","55"
"VM318009","Still in full time education","Never went to school","College or University degree|A levels/AS levels/BTEC or equivalent|O levels/GCSEs or equivalent","Less than £18,000","64",NA,NA,NA,NA,"Unable to work because of sickness or disability",NA,NA,"9.1","12","33"
"XR675995","Never went to school","Prefer not to answer","A levels/AS levels/BTEC or equivalent|O levels/GCSEs or equivalent","£18,000 to £30,999","76","Never/rarely","Never/rarely","Always",NA,"In paid employment or self-employed","Car or motor vehicle","Always","18.8","61","53"
"AO249629","Never went to school","Do not know","NVQ or HND or HNC or equivalent","£18,000 to £30,999","22",NA,NA,NA,NA,"Retired",NA,NA,"12.3","62","20"
"FU560516","Prefer not to answer","Still in full time education","CSEs or equivalent","£18,000 to £30,999","8","Sometimes","Never/rarely","Sometimes",NA,"Looking after home and/or family","Work from home","Always","10.0","55","26"
"KA280012","Never went to school","Never went to school","Prefer not to answer","Greater than £100,000","37",NA,NA,NA,NA,"Unable to work because of sickness or disability",NA,NA,"18.8","61","1"
"IK234644","Never went to school","Still in full time education","Prefer not to answer","£31,000 to £51,999","8","Never/rarely",NA,"Never/rarely",NA,"In paid employment or self-employed; Looking after home and/or family","Car or motor vehicle","Never/rarely","23.5","88","13"
"VH892184","Do not know","Still in full time education","College or University degree|A levels/AS levels/BTEC or equivalent|O levels/GCSEs or equivalent","Do not know","25",NA,NA,NA,NA,"Retired",NA,NA,"1.9","78","13"
"ZM165619","Still in full time education","Prefer not to answer","None of the above","£52,000 to £100,000","20","Never/rarely","Always","Sometimes",NA,"In paid employment or self-employed","Car or motor vehicle","Sometimes","10.4","92","73"
"VN204800","Still in full time education","Do not know","None of the above","£52,000 to £100,000","89","Sometimes",NA,"Prefer not to answer",NA,"Looking after home and/or family","Work from home","Sometimes","13.7","68","8"
"VB472117","Do not know","Prefer not to answer","Prefer not to answer","£18,000 to £30,999","93","Never/rarely",NA,"Prefer not to answer",NA,"In paid employment or self-employed","Car or motor vehicle","Sometimes","11.0","45","80"
"TF436491","Never went to school","Do not know","Prefer not to answer","£18,000 to £30,999","64","Usually",NA,"Never/rarely",NA,"In paid employment or self-employed","Work from home","Never/rarely","19.0","63","77"
"WM343370","Do not know","Still in full time education","College or University degree","Do not know","48","Never/rarely",NA,"Never/rarely",NA,"In paid employment or self-employed; Looking after home and/or family","Car or motor vehicle","Never/rarely","9.3","28","70"
"VC749053","Never went to school","Never went to school","A levels/AS levels/BTEC or equivalent|O levels/GCSEs or equivalent","Greater than £100,000","49",NA,NA,NA,NA,"Prefer not to answer",NA,NA,"17.8","28","5"
"ZM104376","Never went to school","Prefer not to answer","Other professional qualifications e.g., nursing, teaching","£31,000 to £51,999","30","Never/rarely",NA,"Never/rarely",NA,"In paid employment or self-employed","Car or motor vehicle","Never/rarely","17.0","35","74"
"MP707645","Still in full time education","Never went to school","NVQ or HND or HNC or equivalent","£52,000 to £100,000","83","Never/rarely",NA,"Never/rarely",NA,"In paid employment or self-employed","Cycle","Never/rarely","17.5","28","75"
"ES780594","Never went to school","Still in full time education","None of the above","£52,000 to £100,000","61","Never/rarely",NA,"Never/rarely",NA,"In paid employment or self-employed","Car or motor vehicle","Always","4.6","1","59"
"KP696284","Do not know","Prefer not to answer","NVQ or HND or HNC or equivalent","£18,000 to £30,999","82",NA,NA,NA,NA,"Retired",NA,NA,"23.6","87","10"
"OM673845","Never went to school","Never went to school","O levels/GCSEs or equivalent","£52,000 to £100,000","82",NA,NA,NA,NA,"Retired",NA,NA,"8.9","87","68"
"UM773351","Never went to school","Prefer not to answer","College or University degree|A levels/AS levels/BTEC or equivalent|O levels/GCSEs or equivalent","£31,000 to £51,999","89","Sometimes",NA,"Never/rarely",NA,"In paid employment or self-employed","Train","Sometimes","8.2","31","15"
"BH289766","Prefer not to answer","Never went to school","None of the above","£52,000 to £100,000","19","Never/rarely",NA,"Never/rarely",NA,"In paid employment or self-employed","Car or motor vehicle","Always","8.9","5","20"
"YY723990","Never went to school","Never went to school","Other professional qualifications e.g., nursing, teaching","£31,000 to £51,999","7",NA,NA,NA,NA,"Unemployed",NA,NA,"21.0","89","7"
"FW554868","Never went to school","Still in full time education","O levels/GCSEs or equivalent","£52,000 to £100,000","3",NA,NA,NA,NA,"Prefer not to answer",NA,NA,"23.8","93","5"
"AM860527","Never went to school","Prefer not to answer","A levels/AS levels/BTEC or equivalent|O levels/GCSEs or equivalent","£31,000 to £51,999","50",NA,NA,NA,NA,"Retired",NA,NA,"16.0","92","38"
"NF990204","Never went to school","Still in full time education","NVQ or HND or HNC or equivalent","£31,000 to £51,999","34","Sometimes",NA,"Never/rarely",NA,"In paid employment or self-employed","Car or motor vehicle","Never/rarely","22.1","55","26"
"PF759640","Still in full time education","Do not know","CSEs or equivalent","£31,000 to £51,999","84","Sometimes",NA,"Never/rarely",NA,"In paid employment or self-employed","Car or motor vehicle","Never/rarely","17.6","14","7"
"QH788713","Never went to school","Prefer not to answer","A levels/AS levels/BTEC or equivalent|O levels/GCSEs or equivalent","£31,000 to £51,999","92","Sometimes","Sometimes","Sometimes",NA,"Looking after home and/or family","Car or motor vehicle","Do not know","6.4","70","1"
"KZ346655","Do not know","Prefer not to answer","College or University degree|A levels/AS levels/BTEC or equivalent|O levels/GCSEs or equivalent","£52,000 to £100,000","79","Never/rarely","Never/rarely","Sometimes",NA,"In paid employment or self-employed","Car or motor vehicle","Always","13.3","90","17"
"RE210607","Prefer not to answer","Do not know","College or University degree|A levels/AS levels/BTEC or equivalent|O levels/GCSEs or equivalent","£52,000 to £100,000","39","Usually",NA,"Never/rarely",NA,"In paid employment or self-employed","Car or motor vehicle","Usually","9.9","65","47"
"WW586996","Still in full time education","Never went to school","None of the above","Less than £18,000","43","Sometimes",NA,"Never/rarely",NA,"In paid employment or self-employed","Work from home","Never/rarely","4.7","1","55"
"BI369462","Prefer not to answer","Still in full time education","Other professional qualifications e.g., nursing, teaching","£18,000 to £30,999","30","Sometimes",NA,"Never/rarely",NA,"In paid employment or self-employed","Other","Usually","13.9","77","24"
"ZJ738385","Still in full time education","Do not know","NVQ or HND or HNC or equivalent","£31,000 to £51,999","57","Usually","Sometimes","Sometimes",NA,"In paid employment or self-employed","Bus or coach","Usually","15.6","10","16"
"JZ147451","Do not know","Prefer not to answer","College or University degree|A levels/AS levels/BTEC or equivalent|O levels/GCSEs or equivalent","£52,000 to £100,000","57","Usually","Usually","Usually",NA,"In paid employment or self-employed","Bus or coach","Always","16.0","36","48"
"DK728917","Do not know","Do not know","College or University degree|A levels/AS levels/BTEC or equivalent|O levels/GCSEs or equivalent","£52,000 to £100,000","73","Never/rarely",NA,"Never/rarely",NA,"In paid employment or self-employed","Work from home","Usually","4.7","94","15"
"TW919272","Still in full time education","Prefer not to answer","Other professional qualifications e.g., nursing, teaching","£18,000 to £30,999","52","Never/rarely",NA,"Never/rarely",NA,"In paid employment or self-employed","Walk","Never/rarely","19.5","63","71"
"OA106032","Prefer not to answer","Do not know","NVQ or HND or HNC or equivalent","£52,000 to £100,000","77","Never/rarely",NA,"Never/rarely",NA,"In paid employment or self-employed","Car or motor vehicle","Sometimes","18.8","24","75"
